Отказали в возврате товара;Здравствуйте. Скорее всего, в материалах, прикрепленных к заявке на возврат, не был показан факт брака. Пришлите, пожалуйста, фото или видео, на котором видно брак, и подробно опишите проблему. Проверим товар, если брак подтвердится, одобрим возврат.
Мне отказали в возврате товара, что делать?;Здравствуйте. Скорее всего, в материалах, прикрепленных к заявке на возврат, не был показан факт брака. Пришлите, пожалуйста, фото или видео, на котором видно брак, и подробно опишите проблему. Проверим товар, если брак подтвердится, одобрим возврат.
Почему мне не вернули товар?;Здравствуйте. Скорее всего, в материалах, прикрепленных к заявке на возврат, не был показан факт брака. Пришлите, пожалуйста, фото или видео, на котором видно брак, и подробно опишите проблему. Проверим товар, если брак подтвердится, одобрим возврат.
Можно ли вернуть товар, если отказали?;Здравствуйте. Скорее всего, в материалах, прикрепленных к заявке на возврат, не был показан факт брака. Пришлите, пожалуйста, фото или видео, на котором видно брак, и подробно опишите проблему. Проверим товар, если брак подтвердится, одобрим возврат.
Нет заказа   ;Здравствуйте. Мы отгружаем товар со своего склада на Вб и их логистика осуществляет доставку до вас. Напишите в тех.поддержку самого Вб, мы не можем повлиять на скорость или статус доставки.
Сколько дней доставка?;Доставка осуществляется службой логистики Wildberries. Продавец отправляет товар в день заказа, но за сроки доставки отвечает сама площадка. Продавец отправляет товар в день заказа, но за сроки доставки отвечает сама площадка. Уточнить срок доставки можно в личном кабинете Wildberries или в службе поддержки маркетплейса.
Долгая доставка?;Здравствуйте. Мы отгружаем товар со своего склада на Вб и их логистика осуществляет доставку до вас. Напишите в тех.поддержку самого Вб, мы не можем повлиять на скорость или статус доставки.
Когда планируется доствка?;Здравствуйте. Мы отгружаем товар со своего склада на Вб и их логистика осуществляет доставку до вас. Напишите в тех.поддержку самого Вб, мы не можем повлиять на скорость или статус доставки.
Приедет в тот день когда и указано?;Здравствуйте. Мы отгружаем товар со своего склада на Вб и их логистика осуществляет доставку до вас. Напишите в тех.поддержку самого Вб, мы не можем повлиять на скорость или статус доставки.
Почему перенесли доставку?;Здравствуйте. Мы отгружаем товар со своего склада на Вб и их логистика осуществляет доставку до вас. Напишите в тех.поддержку самого Вб, мы не можем повлиять на скорость или статус доставки.
Что нужно хранить для гарантии? Что нужно для гарантии?;Здравствуйте. Проверяйте комплектацию и осматривайте товар на внешний брак (сколы/трещины и пр.) сразу на ПВЗ, не забирая заказ домой. Далее полный комплект, включая упаковку с QR-кодом ВБ нужно хранить в течение 14 дней. Потом гарантийное обслуживание происходит в течение периода, указанного в карточке товара. По вопросам гарантии обращайтесь в наш чат поддержки.
Вы вернули деньги?;Здравствуйте. Всеми финансовыми возвратами занимается сам ВБ. Пожалуйста, напишите в тех. поддержку самого ВБ и уточните.
Как вернуть деньги?;Здравствуйте. Всеми финансовыми возвратами занимается сам ВБ. Пожалуйста, напишите в тех. поддержку самого ВБ и уточните.
Почему деньги не вернули?;Здравствуйте. Всеми финансовыми возвратами занимается сам ВБ. Пожалуйста, напишите в тех. поддержку самого ВБ и уточните.
Когда вернут деньги за заказ?;Здравствуйте. Всеми финансовыми возвратами занимается сам ВБ. Пожалуйста, напишите в тех. поддержку самого ВБ и уточните.
Куда обращаться по возврату денег?;Здравствуйте. Всеми финансовыми возвратами занимается сам ВБ. Пожалуйста, напишите в тех. поддержку самого ВБ и уточните.
Адрес вашего склада;Наш склад находится по адресу: г. Казань, 1-я Вольская, д. 32.
Где находится ваш склад?;Наш склад находится по адресу: г. Казань, 1-я Вольская, д. 32.
Куда приезжать чтобы забрать товар?;Наш склад находится по адресу: г. Казань, 1-я Вольская, д. 32.
Местоположение склада;Наш склад находится по адресу: г. Казань, 1-я Вольская, д. 32.
Какой у вас адрес склада?;Наш склад находится по адресу: г. Казань, 1-я Вольская, д. 32.
Адрес вашего офиса;Наш офис находится по адресу: г. Казань, Сибирский тракт, д. 78, этаж 2, офис 216.
Где находится ваш офис?;Наш офис находится по адресу: г. Казань, Сибирский тракт, д. 78, этаж 2, офис 216.
Какой у вас адрес офиса?;Наш офис находится по адресу: г. Казань, Сибирский тракт, д. 78, этаж 2, офис 216.
Местоположение офиса;Наш офис находится по адресу: г. Казань, Сибирский тракт, д. 78, этаж 2, офис 216.
Куда приезжать в ваш офис?;Наш офис находится по адресу: г. Казань, Сибирский тракт, д. 78, этаж 2, офис 216.
Где можно забрать товар в Казани?;Вы можете забрать товар в Казани по адресу: г. Казань, Сибирский тракт, д. 78, этаж 2, офис 216. Перед приездом, пожалуйста, предварительно свяжитесь с нами, чтобы уточнить время.
Адрес самовывоза в Казани;Вы можете забрать товар в Казани по адресу: г. Казань, Сибирский тракт, д. 78, этаж 2, офис 216. Перед приездом, пожалуйста, предварительно свяжитесь с нами, чтобы уточнить время.
Самовывоз Казань;Вы можете забрать товар в Казани по адресу: г. Казань, Сибирский тракт, д. 78, этаж 2, офис 216. Перед приездом, пожалуйста, предварительно свяжитесь с нами, чтобы уточнить время.
