,проблема,ответ-скрипт,какие дальше дествия,,
!!! ПИШЕМ ВОПРОСЫ И ОТВЕТЫ В КАЖДОМ РАЗДЕ СВОИ. В ПЕРЕМЕШКУ ПОТОМ НЕ НАЙДЕМ,,,,,"Если пишут ""Ассламу алейкум"" (переводится с арабского как МИР ТЕБЕ), то нужно ответ начинать с ""Ва алейкум ассалям"" (И тебе МИР).
Если пишут более развернуто ""Ассаляму алейкум ва рахматуллахи ва баракатух"" (Мир Тебе Благословление и Милость Аллаха), то нужно начинать с ""Ва алейкум ассалям ва рахматуллахи ва баракатух"" (И тебе мир Благословление и Милость Аллаха
 «бик зур Рахмет» (переводится с татарского как БОЛЬШОЕ СПАСИБО),
баракаллаху фикум (переводится с татарского как Пусть Аллах даст тебе Баракат)
Если хотят кого-то поблагодарить, могут сказать: «БаракаЛлаху фика» - «Да благословит тебя Аллах» (мужчине) или «БаракаЛлаху фики» - тоже самое по отношению к женщине. Если обращаются к группе людей, говорят: «БаракаЛлаху фикум» - «Да благословит Аллах вас (всех)».
Ответ: Отвечают для всех, нескольких человек, во множественном числе: ва фикум.
Мужчине: ва фика. Женщине: ва фики. Значение ответа - И вас, и тебя.

Альхамдулиллах (переводится с татарского как хвала Всевышнему) ответ : Ярхамукаллах (милость Аллаха тебе)
МашаЛлах (переводится с татарского как «на то была воля Аллаха») ответ: не нужен ответ
"
,приветствие,"здравствуйте, это чат поддержки покупателей магазина MalDina. Благодарим вас за обращения к нам. какой у вас вопрос?",,,
,,"Здравствуйте, Мария. Благодарим за обратную связь. свяжитесь пожалуйста с нашим чатом поддержки, посмотрите номер на инструкции или визитке или напишите нам в чат покупателей на ВБ. попробуем разобраться в причинах. С уважением, команда магазина MalDina","Здравствуйте!
Благодарим за отзыв. Сожалеем, что товар не полностью соответствует вашим ожиданиям.
Предлагаем провести бесплатную консультацию по его настройке.  Пожалуйста, свяжитесь с нами чате поддержки по What сап 7 (962) 559-29-48 . Если это не решит вопрос и товар некорректно работает по техническим причинам - поможем оформить возврат.

Надеемся, что после нашей помощи и поддержки вы измените все мнение и повысите количество звезд.

С уважением,
Команда магазина MalDina.",,
,отказ возврата," Здравствуйте. Пожалуйста, свяжитесь с нами в чате поддержки по WhatsApp 7 (962) 559-29-48. вотсап 7, девяноста шесть, 2, пять, пять, 9,2, девять, сорок восемь. посмотрим, что делаете и как. если подтвердим что брак вернете","возврат по браку делайте. пишите в сопровождающем сообщении дословно обязательно: ПОДТВЕРДИЛИ БРАК, ОБЩАЛИСЬ С НАМИ В ВОТСАП",,
,,"Здравствуйте. уважаемый покупатель. спасибо за хороший отзыв. При возникновении вопросов по товару вы всегда можете обратиться в наш чат поддержки в вот сапп 7 (962) 559-29-48. Ждем вас за покупками в нашем магазине. С наилучшими пожеланиями, команда магазина MalDina.","Будем рады видеть вас в числе наших покупателей и в будущем. С уважением, команда MalDina",,
заказа нет.Он будет??,,"здравствуйте. мы отгружаем товар со своего склада на Вб и их логистика делает доставку. напиши в тех.поддержку самого Вб, мы не можем повлиять на скорость доставки, ни отменить ее не можем. отслеживайте его доставку в своем личном кабинете","Светлана, здравствуйте. очень огорчены такой низкой оценкой качественного товара( просим наших покупателей оценивать качество товара, его функционалом и нашим сервисом поддержки наших покупателей. мы отгружаем весь наш товар со своего склада на ВБ и он там хранится, а сам Валберис осуществляет доставку до покупателя по средством своей логистики, мы на это повлиять ни каким образом не можем","Екатерина, здравствуйте. мы отгружаем весь наш товар со своего склада на ВБ и он там хранится, а сам Валберис осуществляет доставку до покупателя по средством своей логистики, мы на это повлиять ни каким образом не можем и не видим как идет заказанный товар пока вы его не выкупите на ПВЗ. отслеживайте доставку в своем личном кабинете. и можете задать этот вопрос тех.поддержке самого Валбериса",
"Подскажите, пожалуйста, что нужно хранить для гарантии? ",,"Евгения, здравствуйте. с самого начала просим проверять комплектацию и внешний брак (сколы/трещины и пр.) сразу на ПВЗ не забирая ее домой. Далее желательно всё (коробку с QRкодом от ВБ) хранить в течение 14 дней. Потом гарантийное обслуживание происходит в течение года либо по обращению в наш чат поддержки WhatsApp 7 (962) 559-29-48, либо по заявке на возврат через личный кабинет вб",,,
,когда планируется доствка?,"
здравствуйте. мы отгружаем товар со своего склада на Вб и их логистика делает доставку. напиши в тех.поддержку самого Вб, мы не повлиять на скорость доставки, ни отменить ее не можем",,,
,что хотели?, Здравствуйте. вы обратились в чате поддержки магазина MalDina. какой у вас вопрос?,,,
приедет в тот день когда и указано?,,"здравствуйте. этот вопрос напишите пожалуйста в тех. поддержку самого ВБ. мы отгрузили все со своего склада, в ВБ его уже доставляет сам покупателям",,,
